timestamp,src_ip,dst_ip,src_port,dst_port,protocol,size
2026-05-19 17:05:26,192.168.100.129,192.168.100.1,41191,53,UDP,74
2026-05-19 17:05:26,192.168.100.129,192.168.100.1,42527,53,UDP,74
2026-05-19 17:05:26,192.168.100.129,192.168.100.1,53578,53,TCP,78
2026-05-19 17:05:27,192.168.100.129,192.168.100.1,53578,53,TCP,74
2026-05-19 17:05:28,192.168.100.129,192.168.100.1,53578,53,TCP,74
2026-05-19 17:05:29,192.168.100.129,192.168.100.1,53578,53,TCP,74
2026-05-19 17:05:30,192.168.100.129,192.168.100.1,53578,53,TCP,74
2026-05-19 17:05:31,192.168.100.129,192.168.100.1,53578,53,TCP,74
2026-05-19 17:05:33,192.168.100.129,192.168.100.1,53578,53,TCP,74
2026-05-19 17:05:36,192.168.100.129,192.168.100.1,50970,53,TCP,78
2026-05-19 17:05:37,192.168.100.129,192.168.100.1,50970,53,TCP,74
2026-05-19 17:05:38,192.168.100.129,192.168.100.1,50970,53,TCP,74
2026-05-19 17:05:39,192.168.100.129,192.168.100.1,50970,53,TCP,74
2026-05-19 17:05:40,192.168.100.129,192.168.100.1,50970,53,TCP,74
2026-05-19 17:05:41,192.168.100.129,192.168.100.1,50970,53,TCP,74
2026-05-19 17:05:43,192.168.100.129,192.168.100.1,50970,53,TCP,74
2026-05-19 17:05:46,192.168.100.129,192.168.100.1,36261,53,UDP,74
2026-05-19 17:05:46,192.168.100.129,192.168.100.1,35772,53,UDP,86
2026-05-19 17:05:46,192.168.100.129,192.168.100.1,59786,53,UDP,74
2026-05-19 17:05:46,192.168.100.129,192.168.100.1,42476,53,UDP,86
2026-05-19 17:05:51,192.168.100.129,192.168.100.1,42476,53,UDP,86
2026-05-19 17:05:51,192.168.100.129,192.168.100.1,59786,53,UDP,74
2026-05-19 17:05:51,192.168.100.129,192.168.100.1,40624,53,TCP,78
2026-05-19 17:10:00,192.168.100.129,192.168.100.1,45628,53,TCP,78
2026-05-19 17:10:01,192.168.100.129,192.168.100.1,45628,53,TCP,74
2026-05-19 17:10:02,192.168.100.128,192.168.100.1,34355,53,UDP,88
2026-05-19 17:10:02,192.168.100.129,192.168.100.1,45628,53,TCP,74
2026-05-19 17:10:04,192.168.100.129,192.168.100.1,45628,53,TCP,74
2026-05-19 17:10:05,192.168.100.129,192.168.100.1,45628,53,TCP,74
2026-05-19 17:10:06,192.168.100.129,192.168.100.1,45628,53,TCP,74
2026-05-19 17:10:06,192.168.100.128,192.168.100.1,34355,53,UDP,88
2026-05-19 17:10:08,192.168.100.129,192.168.100.1,45628,53,TCP,74
2026-05-19 17:10:11,192.168.100.129,192.168.100.1,49219,53,UDP,89
2026-05-19 17:10:11,192.168.100.129,192.168.100.1,47935,53,UDP,74
2026-05-19 17:10:11,192.168.100.129,192.168.100.1,40787,53,UDP,89
2026-05-19 17:10:11,192.168.100.129,192.168.100.1,40883,53,UDP,86
2026-05-19 17:10:11,192.168.100.129,192.168.100.1,40874,53,UDP,74
2026-05-19 17:10:11,192.168.100.128,192.168.100.129,36443,113,TCP,60
2026-05-19 17:10:11,192.168.100.128,192.168.100.129,36443,21,TCP,60
